,pair,sentence,attitude
0,"author,javan"," Однако в российском Минобороны как и в МИДе полагают что эти инициативы не должны касаться территорий где ведется борьба с террористами в частности к окрестностям Халеба отмечалось на портале Javan 105
",neutral
1,"author,resalat"," Это может стать реальностью последствия которой уже сейчас заставляют лидеров стран ЕС и европейских стран входящих в блок НАТО буквально «столбенеть от ужаса» резюмирует Resalat высказывания духовного лидера ИРИ
",neutral
2,"author,алеппо"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
3,"author,али хаменей"," В качестве примера Али Хаменеи привел ситуацию в которой ныне оказались европейские страны последовавшие сначала изза Сирии а затем изза Украины «на поводу у Америки»
",neutral
4,"author,асад"," Издание со ссылкой на срочное сообщение канала «АльДжазира» сообщало о заявлении МИД России согласно которому Россия не намерена оказывать на режим Асада давление с целью приостановить подготовку к штурму Алеппо
",neutral
5,"author,балтика"," При этом Москва неоднократно подчеркивала что ее активность на Балтике является ответом именно на действия НАТО и эскалацию враждебного подхода к России вблизи ее восточных границ напоминает издание
",neutral
6,"author,белый дом"," Примерно в аналогичном ключе высказалась и Москва где «несогласованные с Дамаском» шаги Белого дома назвали фактором вызывающим озабоченность
 По его мнению на самом деле цель Белого дома предельно проста — чтобы эти провинции перешли под контроль сил союзных кому угодно в крайнем случае террористам но только не Дамаску и не Москве
",neutral
7,"author,вашингтон"," Почему же и в Москве и Дамаске которые также ведут борьбу против ИГ в Сирии действия Вашингтона вызвали столь резкую критику и каковы на самом деле цели США— задает вопрос Резахах
 Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
 Главы дипведомств РФ и КНР на совместной прессконференции охарактеризовали инициативу Вашингтона как «недопустимое внешнее вмешательство» в дела Корейского полуострова
",neutral
8,"author,великобритания"," В общей сложности дополнительные силы НАТО на востоке Европы составят 4 батальона два батальона направят США и еще по одному — Великобритания и ФРГ передает газета
",neutral
9,"author,глава немецкий мид"," Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
10,"author,дамаск"," По его мнению на самом деле цель Белого дома предельно проста — чтобы эти провинции перешли под контроль сил союзных кому угодно в крайнем случае террористам но только не Дамаску и не Москве
 Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
11,"author,дираззур"," C другой стороны сирийская армия при поддержке российских ВКС недавно освободила древний город Пальмиру откуда остается буквально шаг до северовосточных провинций Ракка и Дираззур остающихся пока под властью ИГ 
",neutral
12,"author,европа"," С этой целью НАТО старается завлечь к себе те немногие страны восточной Европы которые пока не вошли в этот блок 
",neutral
13,"author,ес"," Это может стать реальностью последствия которой уже сейчас заставляют лидеров стран ЕС и европейских стран входящих в блок НАТО буквально «столбенеть от ужаса» резюмирует Resalat высказывания духовного лидера ИРИ
",neutral
14,"author,иго"," Почему же и в Москве и Дамаске которые также ведут борьбу против ИГ в Сирии действия Вашингтона вызвали столь резкую критику и каковы на самом деле цели США— задает вопрос Резахах
 Следует напомнить указывает он что Сирия оказалась одним из самых проблемных направлений во внешней политике администрации Обамы которого республиканская оппозиция упрекает в бездействии чреватом усугублением ситуации с ИГ 
 C другой стороны сирийская армия при поддержке российских ВКС недавно освободила древний город Пальмиру откуда остается буквально шаг до северовосточных провинций Ракка и Дираззур остающихся пока под властью ИГ 
 И правительственная армия объявила о начале боевых операций по их освобождению от сил ИГ при поддержке российской авиации
",neutral
15,"author,иран", СМИ Ирана Финляндия не хочет вступать в НАТО из страха перед Россией,neutral
16,"author,кнр"," Главы дипведомств РФ и КНР на совместной прессконференции охарактеризовали инициативу Вашингтона как «недопустимое внешнее вмешательство» в дела Корейского полуострова
 Очевидно что Россия и КНР считают планы США по размещению комплекса ракет малой дальности на территории Республики Корея действиями которые «явно превышают потребности этого государства в самообороне» и которые на деле продиктованы иными мотивами указывает издание
",neutral
17,"author,мвд"," Владимир Путин отправил в отставку сразу семь высокопоставленных силовиков среди них — южный транспортный прокурор начальник Управления федеральной службы исполнения наказаний по городу Москва а также замглавы МВД Республики Крым 
",neutral
18,"author,мид"," Однако в российском Минобороны как и в МИДе полагают что эти инициативы не должны касаться территорий где ведется борьба с террористами в частности к окрестностям Халеба отмечалось на портале Javan 105
 «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
 Однако после визита в Москву спецпосланника ООН по Сирии Стаффана де Мистуры стало известно об изменении позиции МИДа РФ Россия обозначила готовность к дискуссии подчеркнув при этом что ее согласие будет возможно только при выполнении «ряда серьезных условий» и «требований» в том числе к вооруженной оппозиции отметило издание

 Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
19,"author,москва"," Примерно в аналогичном ключе высказалась и Москва где «несогласованные с Дамаском» шаги Белого дома назвали фактором вызывающим озабоченность
 Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
 Владимир Путин отправил в отставку сразу семь высокопоставленных силовиков среди них — южный транспортный прокурор начальник Управления федеральной службы исполнения наказаний по городу Москва а также замглавы МВД Республики Крым 
",neutral
20,"author,нато"," СМИ Ирана Финляндия не хочет вступать в НАТО из страха перед Россией При этом Москва неоднократно подчеркивала что ее активность на Балтике является ответом именно на действия НАТО и эскалацию враждебного подхода к России вблизи ее восточных границ напоминает издание
 Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
 Это может стать реальностью последствия которой уже сейчас заставляют лидеров стран ЕС и европейских стран входящих в блок НАТО буквально «столбенеть от ужаса» резюмирует Resalat высказывания духовного лидера ИРИ
",neutral
21,"author,обама"," Следует напомнить указывает он что Сирия оказалась одним из самых проблемных направлений во внешней политике администрации Обамы которого республиканская оппозиция упрекает в бездействии чреватом усугублением ситуации с ИГ 
 Обама крайне нуждается в любых шагах которые помогут укрепить его авторитет на Ближнем Востоке
",neutral
22,"author,резах"," Таким образом напрашивается вывод если эти операции завершаться успехом Дамаска то план американцев по «федерализации» а на деле — дезинтеграции единого сирийского государства окажется под угрозой утверждает Резахах 
",neutral
23,"author,республика корея"," Очевидно что Россия и КНР считают планы США по размещению комплекса ракет малой дальности на территории Республики Корея действиями которые «явно превышают потребности этого государства в самообороне» и которые на деле продиктованы иными мотивами указывает издание
",neutral
24,"author,республика крым"," Владимир Путин отправил в отставку сразу семь высокопоставленных силовиков среди них — южный транспортный прокурор начальник Управления федеральной службы исполнения наказаний по городу Москва а также замглавы МВД Республики Крым 
",neutral
