Германия, Россия, pos, current
Россия, Запад, neg, current
Запад, Россия, neg, current
Германия, США, pos, current
Штайнмайер, Росссия, pos, current
Россия, Асад, pos, current
Россия, Исламское государство, neg, current
author, Япония, neg, current
G7, Россия, neg, past
Россия, Запад, neg, past
Запад, Россия, neg, past
Европейские государства, Россия, pos, current
Хандельсблатт, G7, neg, current
Россия, Асад, pos, current
Россия, Исламское государство, neg, current
Ближний Восток, Россия, pos, current
Владимир Путин, G7, neg, current
Россия, Запад, neg, past
Запад, Россия, pos, current
Россия, Запад, pos, current
Россия, G7, neg, current
